,X,player.x,pos.x,age.x,tm.x,g.x,mp.x,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,obpm,dbpm,bpm,vorp,mp.y,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ftpercent,pts,FGM_0_5,FGA_0_5,FGP_0_5,FGM_5_9,FGA_5_9,FGP_5_9,FGM_10_14,FGA_10_14,FGP_10_14,FGM_15_19,FGA_15_19,FGP_15_19,FGM_20_24,FGA_20_24,FGP_20_24,FGM_25_29,FGA_25_29,FGP_25_29
1,1,Álex Abrines,SG,24,OKC,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,-0.5,-1.7,-2.2,-0.1,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.848,4.7,0.3,0.6,54.8,0,0.1,28.6,0.1,0.1,62.5,0,0.1,0,0.5,1.5,36.8,0.6,1.6,39.3
2,2,Quincy Acy,PF,27,BRK,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,-2,-0.2,-2.2,-0.1,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1,0.384,0.496,0.817,5.9,0.3,0.7,45.7,0,0.1,0,0,0.1,20,0.1,0.2,45.5,0.7,2.1,34.5,0.8,2.2,34.9
3,3,Steven Adams,C,24,OKC,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,2.2,1.1,3.3,3.3,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,0.559,13.9,4.8,7.2,66.9,0.8,1.6,50.4,0.3,0.5,52.8,0,0.1,20,0,0,0,0,0,0
4,4,Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,-1.6,1.8,0.2,0.8,19.8,2.5,4.9,0.512,0,0.1,0,2.5,4.8,0.523,0.512,0.721,6.9,2.2,3.7,59.5,0.2,0.6,30.8,0.1,0.4,26.9,0.1,0.2,33.3,0,0,0,0,0,0
5,5,Arron Afflalo,SG,32,ORL,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,-4.1,-1.8,-5.8,-0.7,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.846,3.4,0.3,0.4,60.9,0.1,0.2,50,0.1,0.4,30,0.2,0.5,35.7,0.3,0.9,34,0.2,0.5,41.4
6,6,LaMarcus Aldridge,C,32,SAS,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,3,0.3,3.3,3.3,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,0.837,23.1,4.2,6.2,67.8,1.1,2.6,44.3,1.8,4,44.4,1.4,3.2,42.3,0.5,1.3,41.8,0.2,0.7,24.1
7,7,Jarrett Allen,C,19,BRK,72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,-1.3,1.4,0.2,0.8,20,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,0.776,8.2,2.8,4.3,65.5,0.3,0.7,39.2,0.1,0.2,38.5,0,0.1,22.2,0.1,0.2,40,0,0,0
8,8,Al-Farouq Aminu,PF,27,POR,69,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,-0.8,1.9,1.1,1.6,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.738,9.3,1.2,2.1,58.9,0.2,0.7,24.5,0,0.2,16.7,0,0.4,11.1,1,2.5,41.3,0.8,2.6,31.8
9,9,Justin Anderson,SF,24,PHI,38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,-0.5,-1.5,-2,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.737,6.2,1.2,1.9,63,0,0.3,0,0.1,0.2,28.6,0.1,0.2,62.5,0.3,1.2,26.8,0.6,1.7,36.5
10,10,Kyle Anderson,SF,24,SAS,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,-0.3,4.3,4.1,3,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,0.712,7.9,1.9,2.9,64.5,0.4,0.9,44.6,0.3,0.6,41.7,0.2,0.5,47.1,0.3,0.8,40,0.1,0.2,26.7
11,11,Ryan Anderson,PF,29,HOU,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,1,-0.8,0.2,1,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,0.774,9.3,0.7,1.2,59,0,0.2,9.1,0.1,0.2,53.8,0.3,0.5,56.7,0.5,1.2,41,1.5,3.8,39.6
12,12,Giannis Antetokounmpo,PF,23,MIL,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,3.9,1.9,5.8,5.4,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,0.76,26.9,6.8,9.7,70.2,0.8,2,38.6,0.6,1.8,35.6,0.7,2.2,32.1,0.6,1.5,36.8,0.4,1.5,29.4
13,13,Carmelo Anthony,PF,33,OKC,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,-1.9,-1.9,-3.8,-1.1,32.1,6.1,15,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,0.767,16.2,1.1,2,54.1,0.2,0.7,33.9,1,2.2,45,1.2,2.8,42,1.3,3.7,35.1,1.3,3.6,35.8
